U00096.2	RNIE	Detection Mode	terminator	265	306	32.77	-	.	Gene Occurence	ID=terminator10301;E_value=5.69e-03;Bits=32.77;sumBits=32.77;Note=Predicted Rho independent terminator using cmsearch,seed-a-14=32.77			
U00096.2	RNIE	Gene	terminator	265	306	34.43	-	.	996	ID=terminator10390;E_value=1.57e-03;Bits=34.43;sumBits=34.43;Note=Predicted Rho independent terminator using cmsearch,seed-a-14=34.43,seed-b-14=28.35			
U00096.2	RNIE	Genome	terminator	275	316	33.51	+	.	1	ID=terminator10004;E_value=4.29e-03;Bits=33.51;sumBits=33.51;Note=Predicted Rho independent terminator using cmsearch,seed-a-14=33.51			
U00096.2	RNIE	Gene	terminator	275	316	34.52	+	.	610	ID=terminator10004;E_value=1.52e-03;Bits=34.52;sumBits=34.52;Note=Predicted Rho independent terminator using cmsearch,seed-a-14=34.52,seed-b-14=29.20			
U00096.2	RNIE	Genome	terminator	5042	5084	18.54	+	.	2	ID=terminator10189;E_value=1.30e+00;Bits=18.54;sumBits=18.54;Note=Predicted Rho independent terminator using cmsearch,seed-a-14=18.54			
U00096.2	RNIE	Gene	terminator	5042	5084	20.44	+	.	811	ID=terminator10205;E_value=5.10e-01;Bits=20.44;sumBits=20.44;Note=Predicted Rho independent terminator using cmsearch,seed-a-14=20.44,seed-b-14=20.22			
U00096.2	RNIE	Genome	terminator	9884	9919	22.35	-	.	3	ID=terminator10398;E_value=3.03e-01;Bits=22.35;sumBits=22.35;Note=Predicted Rho independent terminator using cmsearch,seed-a-14=22.35			
U00096.2	RNIE	Gene	terminator	9884	9919	23.34	-	.	1119	ID=terminator10513;E_value=1.54e-01;Bits=23.34;sumBits=23.34;Note=Predicted Rho independent terminator using cmsearch,seed-a-14=23.34,seed-b-14=19.34			
U00096.2	RNIE	Gene	terminator	11845	11887	16.74	+	.	1417	ID=terminator10811;E_value=5.47e+00;Bits=16.74;sumBits=16.74;Note=Predicted Rho independent terminator using cmsearch,seed-b-14=16.74			
U00096.2	RNIE	Genome	terminator	20755	20790	19.83	-	.	4	ID=terminator10459;E_value=7.95e-01;Bits=19.83;sumBits=19.83;Note=Predicted Rho independent terminator using cmsearch,seed-a-14=19.83			
